name,owner,stars,age_days,merged_pull_requests,releases,update_frequency_days,primary_language,closed_issues_ratio,health_index
codegraph,colbymchenry,67775,216,468,30,0,C,0.7534246575342466,0.23509968974180206
Chart.js,chartjs,67659,4906,3018,117,87,JavaScript,0.931821287061074,0.5583383921368575
ripgrep,BurntSushi,67521,3817,571,75,19,Rust,0.9346512904997254,0.36807252625839715
annotated_deep_learning_paper_implementations,labmlai,67341,2189,104,0,213,Python,0.8041958041958042,0.43111334309399685
headroom,headroomlabs-ai,67270,227,1497,168,0,Python,0.7315010570824524,0.406240939170528
uBlock,gorhill,67230,4161,0,288,0,JavaScript,0.9962275101567034,0.5667392298145684
echarts,apache,67128,4890,1524,125,19,TypeScript,0.9301041989064274,0.5594214815463244
scikit-learn,scikit-learn,67030,5850,14721,50,2,Python,0.8742549195721401,0.6037039436727063
design-resources-for-developers,bradtraversy,66739,2300,978,0,91,,,0.28690732363329435
cline,cline,66716,778,4516,387,0,TypeScript,0.8493306103925573,0.47558496786636717
awesome-nodejs,sindresorhus,66603,4426,421,0,112,,0.9714285714285714,0.43875546612041394
gpt4free,xtekky,66588,1243,911,504,2,Python,0.9990234375,0.5143892308592158
33-js-concepts,leonardomso,66514,2910,269,0,21,JavaScript,0.9917355371900828,0.48506528625437195
AI-For-Beginners,microsoft,66481,1999,312,0,33,Jupyter Notebook,0.9390862944162436,0.3015366679293843
Java,TheAlgorithms,66181,3690,2394,0,2,Java,0.9968,0.5151967939821522
docusaurus,facebook,66054,3351,5869,157,0,TypeScript,0.9175554914961084,0.5285640259254755
webpack,webpack,65973,5279,6394,462,0,JavaScript,0.9946226046147828,0.6414907213618202
OpenSpec,Fission-AI,65973,383,579,45,0,TypeScript,0.828099173553719,0.40068477875585845
vaultwarden,dani-garcia,65914,3108,1167,86,1,Rust,0.9945632475534614,0.35757422522631427
ladybird,LadybirdBrowser,65805,815,8123,0,0,C++,0.7470678225395206,0.26628523956511874
prometheus,prometheus,65785,5020,8849,377,0,Go,0.9223834988540872,0.4691191864897836
nocode,kelseyhightower,65658,3119,1,1,746,Dockerfile,0.148409182440596,0.20525589607009276
alacritty,alacritty,65469,3839,1937,108,5,Rust,0.9479987393633784,0.37927815633151585
docling,docling-project,65434,775,1141,207,2,Python,0.5443487075519513,0.40722050235793905
javascript-questions,lydiahallie,65323,2629,327,0,749,,0.9209486166007904,0.32314631343460976
interviews,kdn251,65226,3476,42,0,468,Java,0.4067796610169492,0.4108085559847627
localstack,localstack,65149,3588,6814,106,153,Python,1.0,0.5298459864238443
